State,Avg Daily Distance(Km),Avg Daily Distance levels(Km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Engin Capacity Groups,Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Karnataka,50.18,High Usage,Hero,Passion Pro,"$124,914.00 ",2022,100,0-150 cc,Electric,96.91,First,2022,Active,Individual,"$97,067.86 ",Metro
Delhi,13.94,Lower Usage,TVS,NTorq 125,"$285,453.00 ",2023,100,0-150 cc,Electric,97.84,Third,2023,Active,Dealer,"$189,359.75 ",Tier 3
Maharashtra,26.65,Moderate Usage,KTM,250 Duke,"$337,856.00 ",2015,101,0-150 cc,Petrol,41.33,Second,2022,Expired,Individual,"$209,641.69 ",Tier 3
Rajasthan,39.45,Moderate Usage,KTM,125 Duke,"$176,197.00 ",2022,101,0-150 cc,Petrol,45.81,Third,2022,Active,Dealer,"$120,012.80 ",Metro
Rajasthan,48.69,High Usage,Bajaj,Avenger 220,"$188,748.00 ",2024,101,0-150 cc,Petrol,50.63,Third,2024,Not Available,Dealer,"$140,649.67 ",Tier 2
Delhi,30.05,Moderate Usage,Royal Enfield,Classic 350,"$123,696.00 ",2018,101,0-150 cc,Petrol,55.87,First,2018,Active,Dealer,"$75,145.16 ",Tier 2
Uttar Pradesh,24.78,Moderate Usage,Yamaha,R15 V4,"$344,025.00 ",2017,101,0-150 cc,Hybrid,71.13,First,2017,Active,Dealer,"$203,287.55 ",Tier 3
Punjab,19.32,Lower Usage,KTM,250 Duke,"$302,815.00 ",2024,101,0-150 cc,Hybrid,81.45,Third,2024,Not Available,Dealer,"$136,795.72 ",Metro
Karnataka,68.84,High Usage,Yamaha,MT-15,"$295,107.00 ",2021,101,0-150 cc,Hybrid,81.59,First,2021,Active,Dealer,"$169,577.91 ",Tier 2
Maharashtra,73.08,High Usage,Honda,Activa,"$309,667.00 ",2023,101,0-150 cc,Electric,89,Second,2023,Active,Dealer,"$214,995.64 ",Tier 3
Rajasthan,40.75,Moderate Usage,Kawasaki,Vulcan S,"$69,523.00 ",2017,101,0-150 cc,Electric,98.55,Second,2022,Active,Dealer,"$49,121.35 ",Tier 1
Gujarat,27.91,Moderate Usage,Honda,CBR 650R,"$236,533.00 ",2022,102,0-150 cc,Hybrid,66.28,First,2022,Not Available,Individual,"$122,857.78 ",Tier 1
Karnataka,35.35,Moderate Usage,Hero,Glamour,"$210,693.00 ",2019,102,0-150 cc,Electric,66.75,Second,2024,Active,Individual,"$154,113.36 ",Tier 2
Punjab,20.03,Lower Usage,Royal Enfield,Interceptor 650,"$378,483.00 ",2023,102,0-150 cc,Hybrid,67.07,Second,2023,Not Available,Dealer,"$284,595.32 ",Tier 3
Karnataka,19.41,Lower Usage,TVS,Sport,"$316,073.00 ",2021,102,0-150 cc,Electric,68.12,Second,2023,Active,Dealer,"$129,796.06 ",Tier 3
Maharashtra,75.04,High Usage,Royal Enfield,Hunter 350,"$219,423.00 ",2016,102,0-150 cc,Hybrid,70.22,First,2016,Expired,Individual,"$133,870.31 ",Tier 3
Punjab,75.49,High Usage,Kawasaki,Vulcan S,"$257,796.00 ",2021,102,0-150 cc,Electric,75.64,First,2021,Expired,Dealer,"$176,082.79 ",Tier 1
Tamil Nadu,62.19,High Usage,Kawasaki,Vulcan S,"$388,480.00 ",2017,102,0-150 cc,Electric,79.3,First,2017,Active,Individual,"$202,959.03 ",Tier 3
Madhya Pradesh,24.69,Moderate Usage,Royal Enfield,Hunter 350,"$124,902.00 ",2021,102,0-150 cc,Hybrid,95.25,First,2021,Active,Dealer,"$88,131.92 ",Tier 3
West Bengal,64.65,High Usage,TVS,Sport,"$220,343.00 ",2015,102,0-150 cc,Electric,97.92,Third,2022,Active,Dealer,"$91,269.34 ",Tier 3
Uttar Pradesh,33,Moderate Usage,Kawasaki,Z650,"$353,994.00 ",2021,103,0-150 cc,Petrol,38.96,First,2021,Not Available,Individual,"$258,732.06 ",Tier 2
Tamil Nadu,35.49,Moderate Usage,Royal Enfield,Meteor 350,"$138,052.00 ",2015,103,0-150 cc,Petrol,39.19,Third,2018,Not Available,Dealer,"$69,057.21 ",Metro
Rajasthan,8.18,Lower Usage,Royal Enfield,Interceptor 650,"$222,887.00 ",2023,103,0-150 cc,Petrol,42.12,First,2023,Not Available,Individual,"$137,282.69 ",Tier 3
Delhi,47.74,High Usage,Honda,CBR 650R,"$206,199.00 ",2020,103,0-150 cc,Electric,66.47,First,2020,Active,Dealer,"$106,277.34 ",Metro
Punjab,38.31,Moderate Usage,KTM,RC 390,"$340,454.00 ",2016,103,0-150 cc,Hybrid,66.65,Second,2019,Expired,Individual,"$262,394.28 ",Tier 3
West Bengal,40.62,Moderate Usage,Bajaj,Avenger 220,"$299,998.00 ",2024,103,0-150 cc,Electric,68.3,Second,2024,Expired,Individual,"$218,846.78 ",Tier 2
Delhi,33.86,Moderate Usage,TVS,Ronin,"$157,641.00 ",2020,103,0-150 cc,Electric,75.41,Second,2022,Active,Dealer,"$101,759.45 ",Tier 3
Punjab,12.08,Lower Usage,Royal Enfield,Meteor 350,"$363,345.00 ",2020,103,0-150 cc,Electric,81.11,Second,2022,Not Available,Dealer,"$215,422.79 ",Tier 2
Delhi,10.57,Lower Usage,Kawasaki,Vulcan S,"$267,063.00 ",2023,103,0-150 cc,Electric,83.71,Second,2023,Active,Individual,"$175,230.24 ",Tier 1
Gujarat,16.57,Lower Usage,Bajaj,Platina 110,"$346,101.00 ",2021,103,0-150 cc,Hybrid,84.5,Second,2023,Active,Dealer,"$220,036.70 ",Tier 1
Delhi,74.23,High Usage,Yamaha,MT-15,"$390,862.00 ",2015,103,0-150 cc,Hybrid,86.39,First,2015,Active,Individual,"$287,779.04 ",Tier 1
Maharashtra,34.01,Moderate Usage,Kawasaki,Ninja 400,"$95,038.00 ",2016,103,0-150 cc,Electric,86.92,Third,2020,Not Available,Dealer,"$48,365.87 ",Metro
Gujarat,27.77,Moderate Usage,KTM,125 Duke,"$264,566.00 ",2021,103,0-150 cc,Electric,90.55,Third,2022,Active,Dealer,"$178,315.22 ",Tier 3
West Bengal,17.41,Lower Usage,Honda,Activa,"$57,344.00 ",2019,104,0-150 cc,Petrol,42.88,Second,2024,Active,Dealer,"$35,278.19 ",Tier 2
Rajasthan,12.78,Lower Usage,TVS,Sport,"$241,758.00 ",2016,104,0-150 cc,Petrol,45.38,First,2016,Not Available,Individual,"$98,352.55 ",Tier 2
Maharashtra,52.64,High Usage,Bajaj,Dominar 400,"$120,795.00 ",2023,104,0-150 cc,Petrol,58.81,Second,2023,Expired,Dealer,"$70,308.44 ",Tier 3
Delhi,62.68,High Usage,Yamaha,Ray ZR,"$90,797.00 ",2018,104,0-150 cc,Petrol,58.9,Third,2024,Active,Individual,"$49,226.04 ",Tier 3
Tamil Nadu,63.58,High Usage,Royal Enfield,Meteor 350,"$367,763.00 ",2016,104,0-150 cc,Hybrid,66.86,First,2016,Active,Dealer,"$181,425.28 ",Tier 1
Punjab,22.31,Moderate Usage,Honda,Shine,"$84,699.00 ",2023,104,0-150 cc,Electric,87.16,Third,2024,Active,Dealer,"$61,042.96 ",Tier 1
Delhi,28.2,Moderate Usage,Kawasaki,Ninja 300,"$64,339.00 ",2015,104,0-150 cc,Electric,95.71,Second,2017,Active,Individual,"$30,078.06 ",Tier 3
Gujarat,75.45,High Usage,TVS,Jupiter,"$355,861.00 ",2019,105,0-150 cc,Petrol,26.33,Second,2024,Not Available,Dealer,"$278,340.26 ",Tier 3
Tamil Nadu,31.91,Moderate Usage,Yamaha,Ray ZR,"$57,972.00 ",2016,105,0-150 cc,Petrol,36,Second,2016,Not Available,Individual,"$39,091.78 ",Metro
Maharashtra,58.69,High Usage,Royal Enfield,Himalayan,"$52,836.00 ",2020,105,0-150 cc,Petrol,36.9,Third,2021,Not Available,Individual,"$24,490.41 ",Tier 2
Rajasthan,57.64,High Usage,Bajaj,Platina 110,"$176,668.00 ",2015,105,0-150 cc,Petrol,39.26,Second,2016,Expired,Dealer,"$71,752.86 ",Tier 2
Gujarat,63.26,High Usage,KTM,250 Duke,"$285,478.00 ",2019,105,0-150 cc,Petrol,52.74,First,2019,Active,Dealer,"$165,712.92 ",Tier 2
Rajasthan,45.12,High Usage,Yamaha,Fascino 125,"$206,233.00 ",2023,105,0-150 cc,Electric,62.88,First,2023,Not Available,Individual,"$94,143.61 ",Tier 1
Delhi,76.65,High Usage,Yamaha,R15 V4,"$67,805.00 ",2019,105,0-150 cc,Electric,69.57,Second,2021,Not Available,Dealer,"$35,346.13 ",Metro
Uttar Pradesh,56.01,High Usage,Honda,Activa,"$364,901.00 ",2021,105,0-150 cc,Hybrid,70.45,Third,2021,Expired,Dealer,"$205,957.55 ",Metro
Madhya Pradesh,51.6,High Usage,Bajaj,Platina 110,"$225,943.00 ",2024,105,0-150 cc,Electric,75.38,Second,2024,Active,Dealer,"$129,464.34 ",Tier 1
Delhi,69.49,High Usage,KTM,390 Adventure,"$275,828.00 ",2021,105,0-150 cc,Hybrid,83.43,Third,2022,Not Available,Individual,"$212,207.24 ",Tier 1
Gujarat,24.81,Moderate Usage,Hero,HF Deluxe,"$161,105.00 ",2023,105,0-150 cc,Hybrid,86.61,First,2023,Expired,Individual,"$91,744.22 ",Tier 1
Rajasthan,20.4,Lower Usage,Bajaj,Pulsar 150,"$227,406.00 ",2016,105,0-150 cc,Hybrid,86.83,First,2016,Not Available,Individual,"$115,170.70 ",Tier 1
Gujarat,73.54,High Usage,Hero,Passion Pro,"$205,547.00 ",2018,105,0-150 cc,Electric,87.57,Second,2018,Not Available,Individual,"$119,374.71 ",Tier 3
Madhya Pradesh,29.36,Moderate Usage,Hero,Glamour,"$227,568.00 ",2022,105,0-150 cc,Electric,87.57,Third,2022,Not Available,Dealer,"$148,291.88 ",Metro
West Bengal,36.47,Moderate Usage,KTM,RC 390,"$378,082.00 ",2023,105,0-150 cc,Hybrid,89,Second,2023,Not Available,Individual,"$188,214.49 ",Tier 3
Madhya Pradesh,9.69,Lower Usage,Kawasaki,Versys 650,"$201,390.00 ",2018,105,0-150 cc,Hybrid,92.95,Second,2023,Not Available,Individual,"$153,146.12 ",Tier 3
Tamil Nadu,65.96,High Usage,Yamaha,MT-15,"$380,570.00 ",2024,106,0-150 cc,Petrol,31.37,Second,2024,Not Available,Individual,"$252,724.69 ",Metro
Madhya Pradesh,5.78,Lower Usage,Royal Enfield,Himalayan,"$369,790.00 ",2022,106,0-150 cc,Petrol,33.51,Second,2024,Active,Individual,"$241,857.12 ",Tier 1
Tamil Nadu,74.34,High Usage,Kawasaki,Versys 650,"$336,047.00 ",2017,106,0-150 cc,Petrol,37.54,Third,2019,Active,Dealer,"$159,245.33 ",Tier 3
Karnataka,10.02,Lower Usage,Kawasaki,Ninja 400,"$197,161.00 ",2018,106,0-150 cc,Hybrid,60.66,Third,2024,Not Available,Dealer,"$96,552.97 ",Metro
West Bengal,74.18,High Usage,Kawasaki,Z650,"$316,916.00 ",2020,106,0-150 cc,Hybrid,62.12,First,2020,Active,Individual,"$132,220.31 ",Tier 3
Punjab,34.95,Moderate Usage,Honda,Dio,"$95,109.00 ",2021,106,0-150 cc,Hybrid,70.04,Second,2021,Not Available,Dealer,"$70,912.53 ",Tier 1
Gujarat,60,High Usage,KTM,250 Duke,"$384,055.00 ",2024,106,0-150 cc,Electric,72.15,Third,2024,Expired,Dealer,"$273,880.31 ",Tier 1
Uttar Pradesh,23.88,Moderate Usage,KTM,Duke 200,"$161,006.00 ",2019,106,0-150 cc,Electric,72.99,Second,2019,Active,Dealer,"$79,542.13 ",Metro
Gujarat,43.71,High Usage,Bajaj,Dominar 400,"$219,954.00 ",2021,106,0-150 cc,Electric,75.02,Third,2022,Expired,Individual,"$137,624.59 ",Tier 3
West Bengal,68.97,High Usage,TVS,NTorq 125,"$117,100.00 ",2018,106,0-150 cc,Electric,80.11,Third,2021,Not Available,Individual,"$80,656.36 ",Tier 2
Uttar Pradesh,58.91,High Usage,Yamaha,Fascino 125,"$50,263.00 ",2017,106,0-150 cc,Hybrid,90.84,Second,2023,Expired,Dealer,"$20,532.07 ",Tier 2
Punjab,75.54,High Usage,Yamaha,MT-15,"$214,334.00 ",2021,107,0-150 cc,Petrol,30.48,Third,2021,Not Available,Individual,"$125,539.44 ",Tier 1
West Bengal,66.68,High Usage,KTM,Duke 200,"$174,759.00 ",2016,107,0-150 cc,Petrol,39.62,First,2016,Active,Dealer,"$100,176.18 ",Metro
Rajasthan,45.51,High Usage,KTM,Duke 200,"$262,590.00 ",2019,107,0-150 cc,Petrol,48.32,First,2019,Not Available,Dealer,"$116,973.73 ",Metro
Karnataka,26.81,Moderate Usage,KTM,RC 390,"$242,127.00 ",2024,107,0-150 cc,Petrol,54.43,Third,2024,Expired,Dealer,"$127,072.68 ",Tier 3
Rajasthan,10.04,Lower Usage,Yamaha,R15 V4,"$270,473.00 ",2017,107,0-150 cc,Petrol,59.08,Third,2020,Active,Individual,"$188,526.89 ",Tier 2
Delhi,6.4,Lower Usage,Royal Enfield,Meteor 350,"$227,963.00 ",2023,107,0-150 cc,Hybrid,70.2,First,2023,Active,Individual,"$127,229.75 ",Tier 2
Rajasthan,33.89,Moderate Usage,Yamaha,Ray ZR,"$248,908.00 ",2015,107,0-150 cc,Hybrid,76.05,Third,2021,Active,Dealer,"$152,896.00 ",Metro
Madhya Pradesh,19.99,Lower Usage,Royal Enfield,Meteor 350,"$64,802.00 ",2018,107,0-150 cc,Electric,81.27,Third,2024,Not Available,Individual,"$28,264.55 ",Tier 3
Maharashtra,32.39,Moderate Usage,TVS,Jupiter,"$383,264.00 ",2016,107,0-150 cc,Hybrid,93.84,Third,2024,Not Available,Dealer,"$292,129.00 ",Tier 2
Tamil Nadu,39.85,Moderate Usage,Hero,Splendor Plus,"$382,458.00 ",2015,107,0-150 cc,Electric,95.66,Third,2018,Not Available,Individual,"$298,873.07 ",Tier 2
Karnataka,47.42,High Usage,Bajaj,Avenger 220,"$77,126.00 ",2018,108,0-150 cc,Petrol,38.9,Third,2018,Not Available,Dealer,"$53,001.33 ",Metro
Uttar Pradesh,54.86,High Usage,KTM,390 Adventure,"$163,491.00 ",2017,108,0-150 cc,Petrol,50.21,First,2017,Not Available,Dealer,"$119,199.59 ",Tier 1
West Bengal,38.01,Moderate Usage,KTM,Duke 200,"$297,101.00 ",2020,108,0-150 cc,Petrol,54.44,First,2020,Active,Individual,"$208,608.02 ",Tier 1
Rajasthan,56.62,High Usage,Honda,Unicorn,"$360,610.00 ",2017,108,0-150 cc,Petrol,56.6,Second,2022,Active,Dealer,"$172,757.50 ",Metro
Rajasthan,23.07,Moderate Usage,Honda,CBR 650R,"$132,971.00 ",2016,108,0-150 cc,Hybrid,64.42,Second,2017,Not Available,Dealer,"$87,214.91 ",Tier 1
Rajasthan,18.39,Lower Usage,Hero,Glamour,"$349,074.00 ",2020,108,0-150 cc,Hybrid,74.61,Second,2022,Active,Dealer,"$215,820.32 ",Tier 2
Karnataka,57.41,High Usage,Bajaj,Pulsar 150,"$188,041.00 ",2017,108,0-150 cc,Electric,79.86,First,2017,Expired,Dealer,"$143,971.04 ",Tier 2
Madhya Pradesh,12.04,Lower Usage,Royal Enfield,Meteor 350,"$259,529.00 ",2017,108,0-150 cc,Electric,82.25,First,2017,Not Available,Dealer,"$207,038.82 ",Metro
Madhya Pradesh,9.59,Lower Usage,Royal Enfield,Hunter 350,"$342,478.00 ",2018,108,0-150 cc,Hybrid,83.98,First,2018,Active,Dealer,"$247,338.33 ",Tier 2
Karnataka,6.57,Lower Usage,Yamaha,FZ V3,"$364,656.00 ",2021,108,0-150 cc,Hybrid,86.22,Second,2024,Not Available,Dealer,"$288,151.42 ",Tier 2
Karnataka,15.86,Lower Usage,Hero,Xtreme 160R,"$182,920.00 ",2019,108,0-150 cc,Hybrid,86.55,Third,2021,Not Available,Dealer,"$129,188.69 ",Tier 3
West Bengal,44.97,High Usage,TVS,NTorq 125,"$78,433.00 ",2022,108,0-150 cc,Hybrid,88.82,First,2022,Expired,Dealer,"$59,243.11 ",Tier 1
Gujarat,59.35,High Usage,Honda,CBR 650R,"$274,183.00 ",2024,108,0-150 cc,Electric,93.99,Second,2024,Not Available,Individual,"$199,964.05 ",Tier 3
Gujarat,14.89,Lower Usage,Kawasaki,Ninja 300,"$383,599.00 ",2017,108,0-150 cc,Hybrid,98.96,First,2017,Expired,Dealer,"$170,531.57 ",Tier 2
Tamil Nadu,37.72,Moderate Usage,Hero,Splendor Plus,"$309,753.00 ",2020,109,0-150 cc,Petrol,25.52,Third,2020,Expired,Individual,"$147,153.05 ",Tier 2
West Bengal,28.48,Moderate Usage,Yamaha,FZ V3,"$97,459.00 ",2016,109,0-150 cc,Petrol,46.49,Second,2016,Active,Individual,"$50,013.44 ",Tier 3
Rajasthan,8.85,Lower Usage,Bajaj,CT 100,"$166,413.00 ",2022,109,0-150 cc,Petrol,51.83,Third,2023,Active,Dealer,"$107,972.20 ",Tier 1
Rajasthan,26.18,Moderate Usage,Bajaj,CT 100,"$68,000.00 ",2021,109,0-150 cc,Electric,63.74,Second,2023,Active,Dealer,"$30,586.37 ",Tier 1
Rajasthan,48.02,High Usage,KTM,125 Duke,"$380,766.00 ",2024,109,0-150 cc,Electric,71.21,First,2024,Expired,Dealer,"$198,918.75 ",Tier 3
Punjab,63.41,High Usage,Yamaha,R15 V4,"$280,117.00 ",2019,109,0-150 cc,Hybrid,71.78,Third,2019,Expired,Individual,"$166,800.38 ",Tier 1
Maharashtra,39.9,Moderate Usage,KTM,250 Duke,"$104,856.00 ",2017,109,0-150 cc,Hybrid,74.09,First,2017,Not Available,Dealer,"$62,038.34 ",Metro
West Bengal,52.23,High Usage,TVS,NTorq 125,"$107,850.00 ",2020,109,0-150 cc,Electric,79.37,Second,2024,Active,Individual,"$81,194.34 ",Tier 2
Maharashtra,56.44,High Usage,KTM,Duke 200,"$80,591.00 ",2016,109,0-150 cc,Hybrid,79.64,Second,2024,Expired,Individual,"$58,170.53 ",Metro
Rajasthan,12.44,Lower Usage,KTM,RC 390,"$147,595.00 ",2022,109,0-150 cc,Electric,82.35,Second,2024,Not Available,Dealer,"$100,169.64 ",Metro
Rajasthan,28.79,Moderate Usage,Hero,HF Deluxe,"$145,289.00 ",2023,109,0-150 cc,Electric,82.43,Third,2024,Active,Dealer,"$80,923.04 ",Metro
Uttar Pradesh,16.1,Lower Usage,Royal Enfield,Interceptor 650,"$167,254.00 ",2020,109,0-150 cc,Electric,84.15,Second,2021,Not Available,Dealer,"$129,455.70 ",Metro
Uttar Pradesh,37.31,Moderate Usage,KTM,125 Duke,"$167,367.00 ",2017,109,0-150 cc,Hybrid,86.65,Second,2018,Active,Individual,"$80,625.33 ",Tier 2
Gujarat,26.8,Moderate Usage,Yamaha,Ray ZR,"$155,365.00 ",2015,110,0-150 cc,Petrol,38.03,Third,2015,Not Available,Dealer,"$82,837.62 ",Tier 3
Madhya Pradesh,18.76,Lower Usage,Royal Enfield,Classic 350,"$220,049.00 ",2019,110,0-150 cc,Petrol,39.91,Third,2021,Expired,Dealer,"$174,463.78 ",Tier 1
West Bengal,9.46,Lower Usage,Hero,HF Deluxe,"$91,604.00 ",2020,110,0-150 cc,Petrol,42.22,Third,2021,Not Available,Individual,"$53,145.66 ",Metro
Tamil Nadu,10.82,Lower Usage,Bajaj,Pulsar 150,"$397,614.00 ",2023,110,0-150 cc,Petrol,52.68,Second,2023,Expired,Dealer,"$185,883.06 ",Tier 3
Tamil Nadu,31.99,Moderate Usage,Yamaha,FZ V3,"$231,730.00 ",2015,110,0-150 cc,Petrol,53.64,Third,2015,Not Available,Individual,"$170,334.38 ",Tier 2
Tamil Nadu,11.53,Lower Usage,Kawasaki,Ninja 300,"$319,425.00 ",2016,110,0-150 cc,Petrol,54.9,Second,2016,Active,Dealer,"$190,366.38 ",Tier 2
Gujarat,55.06,High Usage,Bajaj,Pulsar 150,"$61,270.00 ",2017,110,0-150 cc,Electric,70.1,Third,2023,Not Available,Individual,"$41,903.87 ",Tier 3
Maharashtra,8.3,Lower Usage,KTM,250 Duke,"$345,015.00 ",2016,110,0-150 cc,Electric,76.35,Second,2019,Expired,Dealer,"$240,947.99 ",Metro
Punjab,77.14,High Usage,Honda,Activa,"$180,600.00 ",2018,110,0-150 cc,Electric,76.43,Second,2023,Not Available,Dealer,"$113,690.58 ",Tier 2
Tamil Nadu,66.23,High Usage,Bajaj,Dominar 400,"$262,598.00 ",2016,110,0-150 cc,Hybrid,77.11,Second,2018,Expired,Individual,"$163,743.88 ",Tier 1
Rajasthan,46.4,High Usage,KTM,RC 390,"$274,938.00 ",2019,110,0-150 cc,Hybrid,93.32,Second,2020,Not Available,Dealer,"$202,940.26 ",Tier 3
Delhi,23.19,Moderate Usage,Hero,Glamour,"$273,974.00 ",2017,110,0-150 cc,Hybrid,93.37,Third,2022,Active,Individual,"$120,490.57 ",Tier 1
Karnataka,10.32,Lower Usage,Royal Enfield,Interceptor 650,"$348,076.00 ",2016,110,0-150 cc,Hybrid,93.51,Second,2019,Active,Individual,"$174,379.64 ",Tier 1
Madhya Pradesh,5.92,Lower Usage,Kawasaki,Versys 650,"$61,118.00 ",2019,111,0-150 cc,Petrol,32.12,Third,2021,Active,Dealer,"$26,896.52 ",Metro
Maharashtra,6.61,Lower Usage,TVS,Apache RTR 160,"$209,659.00 ",2018,111,0-150 cc,Hybrid,64.52,Second,2024,Expired,Dealer,"$164,100.93 ",Tier 2
Rajasthan,44.47,High Usage,TVS,Ronin,"$206,799.00 ",2022,111,0-150 cc,Hybrid,71.31,Third,2022,Not Available,Dealer,"$147,995.37 ",Tier 3
Uttar Pradesh,19.6,Lower Usage,Honda,Shine,"$268,443.00 ",2019,111,0-150 cc,Hybrid,72.85,Second,2022,Expired,Individual,"$116,212.42 ",Tier 1
Karnataka,24.38,Moderate Usage,Bajaj,Pulsar 150,"$319,080.00 ",2020,111,0-150 cc,Hybrid,72.9,Third,2022,Expired,Dealer,"$199,482.09 ",Tier 3
Rajasthan,7.85,Lower Usage,Kawasaki,Vulcan S,"$311,035.00 ",2019,111,0-150 cc,Electric,92.9,First,2019,Not Available,Individual,"$227,332.74 ",Tier 2
Uttar Pradesh,30.17,Moderate Usage,Honda,Unicorn,"$118,352.00 ",2024,111,0-150 cc,Hybrid,95.02,Second,2024,Not Available,Dealer,"$91,976.43 ",Tier 1
Maharashtra,44.92,High Usage,Honda,CBR 650R,"$107,497.00 ",2023,111,0-150 cc,Hybrid,96.87,Third,2024,Expired,Dealer,"$67,474.42 ",Tier 3
Tamil Nadu,53.46,High Usage,Yamaha,FZ V3,"$84,719.00 ",2019,112,0-150 cc,Petrol,39.59,Third,2023,Active,Individual,"$39,100.44 ",Tier 1
Tamil Nadu,52.78,High Usage,Royal Enfield,Interceptor 650,"$224,236.00 ",2023,112,0-150 cc,Hybrid,67.33,Second,2023,Active,Individual,"$174,969.77 ",Tier 3
Karnataka,23.54,Moderate Usage,KTM,RC 390,"$215,132.00 ",2020,113,0-150 cc,Petrol,29.55,Third,2021,Not Available,Dealer,"$139,332.75 ",Tier 3
Karnataka,33.03,Moderate Usage,Royal Enfield,Himalayan,"$179,879.00 ",2024,113,0-150 cc,Petrol,35.17,Third,2024,Expired,Individual,"$122,356.35 ",Tier 3
Rajasthan,18.43,Lower Usage,Hero,Xtreme 160R,"$77,627.00 ",2018,113,0-150 cc,Petrol,39.41,Third,2022,Active,Dealer,"$54,525.25 ",Metro
Gujarat,37.9,Moderate Usage,Hero,Splendor Plus,"$62,492.00 ",2016,113,0-150 cc,Petrol,47.15,First,2016,Expired,Individual,"$27,756.63 ",Tier 3
Tamil Nadu,46.82,High Usage,KTM,125 Duke,"$394,672.00 ",2019,113,0-150 cc,Petrol,56.46,Third,2021,Active,Dealer,"$190,986.92 ",Tier 3
Delhi,63.21,High Usage,Honda,Shine,"$117,190.00 ",2019,113,0-150 cc,Petrol,57.24,First,2019,Not Available,Dealer,"$63,275.06 ",Tier 1
Tamil Nadu,9.32,Lower Usage,Kawasaki,Z650,"$139,934.00 ",2019,113,0-150 cc,Electric,69.13,First,2019,Not Available,Dealer,"$62,355.26 ",Metro
Uttar Pradesh,50.01,High Usage,Hero,Passion Pro,"$375,260.00 ",2023,113,0-150 cc,Electric,72.71,Second,2024,Active,Dealer,"$288,857.31 ",Tier 3
West Bengal,72.39,High Usage,Bajaj,Dominar 400,"$140,690.00 ",2024,113,0-150 cc,Electric,73.22,Third,2024,Not Available,Individual,"$84,032.32 ",Tier 2
Karnataka,62.99,High Usage,Royal Enfield,Meteor 350,"$84,843.00 ",2019,113,0-150 cc,Electric,79.37,Second,2019,Expired,Dealer,"$41,399.55 ",Tier 2
Punjab,35.66,Moderate Usage,Royal Enfield,Classic 350,"$59,211.00 ",2019,113,0-150 cc,Electric,80.8,Third,2024,Expired,Individual,"$38,392.68 ",Tier 2
Rajasthan,47.46,High Usage,Royal Enfield,Interceptor 650,"$331,886.00 ",2015,113,0-150 cc,Hybrid,82.29,First,2015,Expired,Individual,"$208,376.40 ",Tier 2
Uttar Pradesh,23.91,Moderate Usage,Royal Enfield,Interceptor 650,"$184,455.00 ",2018,113,0-150 cc,Electric,88.88,Third,2019,Not Available,Individual,"$112,836.92 ",Metro
Rajasthan,12.16,Lower Usage,Royal Enfield,Hunter 350,"$294,978.00 ",2016,113,0-150 cc,Electric,89.2,First,2016,Expired,Individual,"$196,388.22 ",Tier 1
