State,Avg Daily Distance(Km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Delhi,62.68,Yamaha,Ray ZR,"$90,797.00 ",2018,104,Petrol,58.9,Third,2024,Active,Individual,"$49,226.04 ",Tier 3
Tamil Nadu,63.58,Royal Enfield,Meteor 350,"$367,763.00 ",2016,104,Hybrid,66.86,First,2016,Active,Dealer,"$181,425.28 ",Tier 1
Punjab,22.31,Honda,Shine,"$84,699.00 ",2023,104,Electric,87.16,Third,2024,Active,Dealer,"$61,042.96 ",Tier 1
Delhi,28.2,Kawasaki,Ninja 300,"$64,339.00 ",2015,104,Electric,95.71,Second,2017,Active,Individual,"$30,078.06 ",Tier 3
Gujarat,75.45,TVS,Jupiter,"$355,861.00 ",2019,105,Petrol,26.33,Second,2024,Not Available,Dealer,"$278,340.26 ",Tier 3
Tamil Nadu,31.91,Yamaha,Ray ZR,"$57,972.00 ",2016,105,Petrol,36,Second,2016,Not Available,Individual,"$39,091.78 ",Metro
Maharashtra,58.69,Royal Enfield,Himalayan,"$52,836.00 ",2020,105,Petrol,36.9,Third,2021,Not Available,Individual,"$24,490.41 ",Tier 2
Rajasthan,57.64,Bajaj,Platina 110,"$176,668.00 ",2015,105,Petrol,39.26,Second,2016,Expired,Dealer,"$71,752.86 ",Tier 2
Gujarat,63.26,KTM,250 Duke,"$285,478.00 ",2019,105,Petrol,52.74,First,2019,Active,Dealer,"$165,712.92 ",Tier 2
Rajasthan,45.12,Yamaha,Fascino 125,"$206,233.00 ",2023,105,Electric,62.88,First,2023,Not Available,Individual,"$94,143.61 ",Tier 1
Delhi,76.65,Yamaha,R15 V4,"$67,805.00 ",2019,105,Electric,69.57,Second,2021,Not Available,Dealer,"$35,346.13 ",Metro
Uttar Pradesh,56.01,Honda,Activa,"$364,901.00 ",2021,105,Hybrid,70.45,Third,2021,Expired,Dealer,"$205,957.55 ",Metro
Madhya Pradesh,51.6,Bajaj,Platina 110,"$225,943.00 ",2024,105,Electric,75.38,Second,2024,Active,Dealer,"$129,464.34 ",Tier 1
Delhi,69.49,KTM,390 Adventure,"$275,828.00 ",2021,105,Hybrid,83.43,Third,2022,Not Available,Individual,"$212,207.24 ",Tier 1
Gujarat,24.81,Hero,HF Deluxe,"$161,105.00 ",2023,105,Hybrid,86.61,First,2023,Expired,Individual,"$91,744.22 ",Tier 1
Rajasthan,20.4,Bajaj,Pulsar 150,"$227,406.00 ",2016,105,Hybrid,86.83,First,2016,Not Available,Individual,"$115,170.70 ",Tier 1
Gujarat,73.54,Hero,Passion Pro,"$205,547.00 ",2018,105,Electric,87.57,Second,2018,Not Available,Individual,"$119,374.71 ",Tier 3
Madhya Pradesh,29.36,Hero,Glamour,"$227,568.00 ",2022,105,Electric,87.57,Third,2022,Not Available,Dealer,"$148,291.88 ",Metro
West Bengal,36.47,KTM,RC 390,"$378,082.00 ",2023,105,Hybrid,89,Second,2023,Not Available,Individual,"$188,214.49 ",Tier 3
Madhya Pradesh,9.69,Kawasaki,Versys 650,"$201,390.00 ",2018,105,Hybrid,92.95,Second,2023,Not Available,Individual,"$153,146.12 ",Tier 3
Tamil Nadu,65.96,Yamaha,MT-15,"$380,570.00 ",2024,106,Petrol,31.37,Second,2024,Not Available,Individual,"$252,724.69 ",Metro
Madhya Pradesh,5.78,Royal Enfield,Himalayan,"$369,790.00 ",2022,106,Petrol,33.51,Second,2024,Active,Individual,"$241,857.12 ",Tier 1
Tamil Nadu,74.34,Kawasaki,Versys 650,"$336,047.00 ",2017,106,Petrol,37.54,Third,2019,Active,Dealer,"$159,245.33 ",Tier 3
Karnataka,10.02,Kawasaki,Ninja 400,"$197,161.00 ",2018,106,Hybrid,60.66,Third,2024,Not Available,Dealer,"$96,552.97 ",Metro
West Bengal,74.18,Kawasaki,Z650,"$316,916.00 ",2020,106,Hybrid,62.12,First,2020,Active,Individual,"$132,220.31 ",Tier 3
Punjab,34.95,Honda,Dio,"$95,109.00 ",2021,106,Hybrid,70.04,Second,2021,Not Available,Dealer,"$70,912.53 ",Tier 1
Gujarat,60,KTM,250 Duke,"$384,055.00 ",2024,106,Electric,72.15,Third,2024,Expired,Dealer,"$273,880.31 ",Tier 1
Uttar Pradesh,23.88,KTM,Duke 200,"$161,006.00 ",2019,106,Electric,72.99,Second,2019,Active,Dealer,"$79,542.13 ",Metro
Gujarat,43.71,Bajaj,Dominar 400,"$219,954.00 ",2021,106,Electric,75.02,Third,2022,Expired,Individual,"$137,624.59 ",Tier 3
West Bengal,68.97,TVS,NTorq 125,"$117,100.00 ",2018,106,Electric,80.11,Third,2021,Not Available,Individual,"$80,656.36 ",Tier 2
Uttar Pradesh,58.91,Yamaha,Fascino 125,"$50,263.00 ",2017,106,Hybrid,90.84,Second,2023,Expired,Dealer,"$20,532.07 ",Tier 2
Punjab,75.54,Yamaha,MT-15,"$214,334.00 ",2021,107,Petrol,30.48,Third,2021,Not Available,Individual,"$125,539.44 ",Tier 1
West Bengal,66.68,KTM,Duke 200,"$174,759.00 ",2016,107,Petrol,39.62,First,2016,Active,Dealer,"$100,176.18 ",Metro
Rajasthan,45.51,KTM,Duke 200,"$262,590.00 ",2019,107,Petrol,48.32,First,2019,Not Available,Dealer,"$116,973.73 ",Metro
Karnataka,26.81,KTM,RC 390,"$242,127.00 ",2024,107,Petrol,54.43,Third,2024,Expired,Dealer,"$127,072.68 ",Tier 3
Rajasthan,10.04,Yamaha,R15 V4,"$270,473.00 ",2017,107,Petrol,59.08,Third,2020,Active,Individual,"$188,526.89 ",Tier 2
Delhi,6.4,Royal Enfield,Meteor 350,"$227,963.00 ",2023,107,Hybrid,70.2,First,2023,Active,Individual,"$127,229.75 ",Tier 2
Rajasthan,33.89,Yamaha,Ray ZR,"$248,908.00 ",2015,107,Hybrid,76.05,Third,2021,Active,Dealer,"$152,896.00 ",Metro
Madhya Pradesh,19.99,Royal Enfield,Meteor 350,"$64,802.00 ",2018,107,Electric,81.27,Third,2024,Not Available,Individual,"$28,264.55 ",Tier 3
Maharashtra,32.39,TVS,Jupiter,"$383,264.00 ",2016,107,Hybrid,93.84,Third,2024,Not Available,Dealer,"$292,129.00 ",Tier 2
Tamil Nadu,39.85,Hero,Splendor Plus,"$382,458.00 ",2015,107,Electric,95.66,Third,2018,Not Available,Individual,"$298,873.07 ",Tier 2
Karnataka,47.42,Bajaj,Avenger 220,"$77,126.00 ",2018,108,Petrol,38.9,Third,2018,Not Available,Dealer,"$53,001.33 ",Metro
Uttar Pradesh,54.86,KTM,390 Adventure,"$163,491.00 ",2017,108,Petrol,50.21,First,2017,Not Available,Dealer,"$119,199.59 ",Tier 1
West Bengal,38.01,KTM,Duke 200,"$297,101.00 ",2020,108,Petrol,54.44,First,2020,Active,Individual,"$208,608.02 ",Tier 1
Rajasthan,56.62,Honda,Unicorn,"$360,610.00 ",2017,108,Petrol,56.6,Second,2022,Active,Dealer,"$172,757.50 ",Metro
Rajasthan,23.07,Honda,CBR 650R,"$132,971.00 ",2016,108,Hybrid,64.42,Second,2017,Not Available,Dealer,"$87,214.91 ",Tier 1
Rajasthan,18.39,Hero,Glamour,"$349,074.00 ",2020,108,Hybrid,74.61,Second,2022,Active,Dealer,"$215,820.32 ",Tier 2
Karnataka,57.41,Bajaj,Pulsar 150,"$188,041.00 ",2017,108,Electric,79.86,First,2017,Expired,Dealer,"$143,971.04 ",Tier 2
Madhya Pradesh,12.04,Royal Enfield,Meteor 350,"$259,529.00 ",2017,108,Electric,82.25,First,2017,Not Available,Dealer,"$207,038.82 ",Metro
Madhya Pradesh,9.59,Royal Enfield,Hunter 350,"$342,478.00 ",2018,108,Hybrid,83.98,First,2018,Active,Dealer,"$247,338.33 ",Tier 2
Karnataka,6.57,Yamaha,FZ V3,"$364,656.00 ",2021,108,Hybrid,86.22,Second,2024,Not Available,Dealer,"$288,151.42 ",Tier 2
Karnataka,15.86,Hero,Xtreme 160R,"$182,920.00 ",2019,108,Hybrid,86.55,Third,2021,Not Available,Dealer,"$129,188.69 ",Tier 3
West Bengal,44.97,TVS,NTorq 125,"$78,433.00 ",2022,108,Hybrid,88.82,First,2022,Expired,Dealer,"$59,243.11 ",Tier 1
Gujarat,59.35,Honda,CBR 650R,"$274,183.00 ",2024,108,Electric,93.99,Second,2024,Not Available,Individual,"$199,964.05 ",Tier 3
Gujarat,14.89,Kawasaki,Ninja 300,"$383,599.00 ",2017,108,Hybrid,98.96,First,2017,Expired,Dealer,"$170,531.57 ",Tier 2
Tamil Nadu,37.72,Hero,Splendor Plus,"$309,753.00 ",2020,109,Petrol,25.52,Third,2020,Expired,Individual,"$147,153.05 ",Tier 2
West Bengal,28.48,Yamaha,FZ V3,"$97,459.00 ",2016,109,Petrol,46.49,Second,2016,Active,Individual,"$50,013.44 ",Tier 3
Rajasthan,8.85,Bajaj,CT 100,"$166,413.00 ",2022,109,Petrol,51.83,Third,2023,Active,Dealer,"$107,972.20 ",Tier 1
Rajasthan,26.18,Bajaj,CT 100,"$68,000.00 ",2021,109,Electric,63.74,Second,2023,Active,Dealer,"$30,586.37 ",Tier 1
Rajasthan,48.02,KTM,125 Duke,"$380,766.00 ",2024,109,Electric,71.21,First,2024,Expired,Dealer,"$198,918.75 ",Tier 3
Punjab,63.41,Yamaha,R15 V4,"$280,117.00 ",2019,109,Hybrid,71.78,Third,2019,Expired,Individual,"$166,800.38 ",Tier 1
Maharashtra,39.9,KTM,250 Duke,"$104,856.00 ",2017,109,Hybrid,74.09,First,2017,Not Available,Dealer,"$62,038.34 ",Metro
West Bengal,52.23,TVS,NTorq 125,"$107,850.00 ",2020,109,Electric,79.37,Second,2024,Active,Individual,"$81,194.34 ",Tier 2
Maharashtra,56.44,KTM,Duke 200,"$80,591.00 ",2016,109,Hybrid,79.64,Second,2024,Expired,Individual,"$58,170.53 ",Metro
Rajasthan,12.44,KTM,RC 390,"$147,595.00 ",2022,109,Electric,82.35,Second,2024,Not Available,Dealer,"$100,169.64 ",Metro
Rajasthan,28.79,Hero,HF Deluxe,"$145,289.00 ",2023,109,Electric,82.43,Third,2024,Active,Dealer,"$80,923.04 ",Metro
Uttar Pradesh,16.1,Royal Enfield,Interceptor 650,"$167,254.00 ",2020,109,Electric,84.15,Second,2021,Not Available,Dealer,"$129,455.70 ",Metro
Uttar Pradesh,37.31,KTM,125 Duke,"$167,367.00 ",2017,109,Hybrid,86.65,Second,2018,Active,Individual,"$80,625.33 ",Tier 2
Gujarat,26.8,Yamaha,Ray ZR,"$155,365.00 ",2015,110,Petrol,38.03,Third,2015,Not Available,Dealer,"$82,837.62 ",Tier 3
Madhya Pradesh,18.76,Royal Enfield,Classic 350,"$220,049.00 ",2019,110,Petrol,39.91,Third,2021,Expired,Dealer,"$174,463.78 ",Tier 1
West Bengal,9.46,Hero,HF Deluxe,"$91,604.00 ",2020,110,Petrol,42.22,Third,2021,Not Available,Individual,"$53,145.66 ",Metro
Tamil Nadu,10.82,Bajaj,Pulsar 150,"$397,614.00 ",2023,110,Petrol,52.68,Second,2023,Expired,Dealer,"$185,883.06 ",Tier 3
Tamil Nadu,31.99,Yamaha,FZ V3,"$231,730.00 ",2015,110,Petrol,53.64,Third,2015,Not Available,Individual,"$170,334.38 ",Tier 2
Tamil Nadu,11.53,Kawasaki,Ninja 300,"$319,425.00 ",2016,110,Petrol,54.9,Second,2016,Active,Dealer,"$190,366.38 ",Tier 2
Gujarat,55.06,Bajaj,Pulsar 150,"$61,270.00 ",2017,110,Electric,70.1,Third,2023,Not Available,Individual,"$41,903.87 ",Tier 3
Maharashtra,8.3,KTM,250 Duke,"$345,015.00 ",2016,110,Electric,76.35,Second,2019,Expired,Dealer,"$240,947.99 ",Metro
Punjab,77.14,Honda,Activa,"$180,600.00 ",2018,110,Electric,76.43,Second,2023,Not Available,Dealer,"$113,690.58 ",Tier 2
Tamil Nadu,66.23,Bajaj,Dominar 400,"$262,598.00 ",2016,110,Hybrid,77.11,Second,2018,Expired,Individual,"$163,743.88 ",Tier 1
Rajasthan,46.4,KTM,RC 390,"$274,938.00 ",2019,110,Hybrid,93.32,Second,2020,Not Available,Dealer,"$202,940.26 ",Tier 3
Delhi,23.19,Hero,Glamour,"$273,974.00 ",2017,110,Hybrid,93.37,Third,2022,Active,Individual,"$120,490.57 ",Tier 1
Karnataka,10.32,Royal Enfield,Interceptor 650,"$348,076.00 ",2016,110,Hybrid,93.51,Second,2019,Active,Individual,"$174,379.64 ",Tier 1
Madhya Pradesh,5.92,Kawasaki,Versys 650,"$61,118.00 ",2019,111,Petrol,32.12,Third,2021,Active,Dealer,"$26,896.52 ",Metro
Maharashtra,6.61,TVS,Apache RTR 160,"$209,659.00 ",2018,111,Hybrid,64.52,Second,2024,Expired,Dealer,"$164,100.93 ",Tier 2
Rajasthan,44.47,TVS,Ronin,"$206,799.00 ",2022,111,Hybrid,71.31,Third,2022,Not Available,Dealer,"$147,995.37 ",Tier 3
Uttar Pradesh,19.6,Honda,Shine,"$268,443.00 ",2019,111,Hybrid,72.85,Second,2022,Expired,Individual,"$116,212.42 ",Tier 1
Karnataka,24.38,Bajaj,Pulsar 150,"$319,080.00 ",2020,111,Hybrid,72.9,Third,2022,Expired,Dealer,"$199,482.09 ",Tier 3
Rajasthan,7.85,Kawasaki,Vulcan S,"$311,035.00 ",2019,111,Electric,92.9,First,2019,Not Available,Individual,"$227,332.74 ",Tier 2
Uttar Pradesh,30.17,Honda,Unicorn,"$118,352.00 ",2024,111,Hybrid,95.02,Second,2024,Not Available,Dealer,"$91,976.43 ",Tier 1
Maharashtra,44.92,Honda,CBR 650R,"$107,497.00 ",2023,111,Hybrid,96.87,Third,2024,Expired,Dealer,"$67,474.42 ",Tier 3
Tamil Nadu,53.46,Yamaha,FZ V3,"$84,719.00 ",2019,112,Petrol,39.59,Third,2023,Active,Individual,"$39,100.44 ",Tier 1
Tamil Nadu,52.78,Royal Enfield,Interceptor 650,"$224,236.00 ",2023,112,Hybrid,67.33,Second,2023,Active,Individual,"$174,969.77 ",Tier 3
Karnataka,23.54,KTM,RC 390,"$215,132.00 ",2020,113,Petrol,29.55,Third,2021,Not Available,Dealer,"$139,332.75 ",Tier 3
Karnataka,33.03,Royal Enfield,Himalayan,"$179,879.00 ",2024,113,Petrol,35.17,Third,2024,Expired,Individual,"$122,356.35 ",Tier 3
Rajasthan,18.43,Hero,Xtreme 160R,"$77,627.00 ",2018,113,Petrol,39.41,Third,2022,Active,Dealer,"$54,525.25 ",Metro
Gujarat,37.9,Hero,Splendor Plus,"$62,492.00 ",2016,113,Petrol,47.15,First,2016,Expired,Individual,"$27,756.63 ",Tier 3
Tamil Nadu,46.82,KTM,125 Duke,"$394,672.00 ",2019,113,Petrol,56.46,Third,2021,Active,Dealer,"$190,986.92 ",Tier 3
Delhi,63.21,Honda,Shine,"$117,190.00 ",2019,113,Petrol,57.24,First,2019,Not Available,Dealer,"$63,275.06 ",Tier 1
Tamil Nadu,9.32,Kawasaki,Z650,"$139,934.00 ",2019,113,Electric,69.13,First,2019,Not Available,Dealer,"$62,355.26 ",Metro
Uttar Pradesh,50.01,Hero,Passion Pro,"$375,260.00 ",2023,113,Electric,72.71,Second,2024,Active,Dealer,"$288,857.31 ",Tier 3
West Bengal,72.39,Bajaj,Dominar 400,"$140,690.00 ",2024,113,Electric,73.22,Third,2024,Not Available,Individual,"$84,032.32 ",Tier 2
Karnataka,62.99,Royal Enfield,Meteor 350,"$84,843.00 ",2019,113,Electric,79.37,Second,2019,Expired,Dealer,"$41,399.55 ",Tier 2
Punjab,35.66,Royal Enfield,Classic 350,"$59,211.00 ",2019,113,Electric,80.8,Third,2024,Expired,Individual,"$38,392.68 ",Tier 2
Rajasthan,47.46,Royal Enfield,Interceptor 650,"$331,886.00 ",2015,113,Hybrid,82.29,First,2015,Expired,Individual,"$208,376.40 ",Tier 2
Uttar Pradesh,23.91,Royal Enfield,Interceptor 650,"$184,455.00 ",2018,113,Electric,88.88,Third,2019,Not Available,Individual,"$112,836.92 ",Metro
Rajasthan,12.16,Royal Enfield,Hunter 350,"$294,978.00 ",2016,113,Electric,89.2,First,2016,Expired,Individual,"$196,388.22 ",Tier 1
West Bengal,48.65,Bajaj,Pulsar 150,"$260,387.00 ",2024,113,Electric,95.94,Third,2024,Not Available,Individual,"$205,280.82 ",Tier 1
Punjab,39.76,Honda,Activa,"$102,921.00 ",2017,114,Petrol,26.24,Second,2024,Active,Individual,"$65,985.59 ",Tier 3
Delhi,56.75,KTM,250 Duke,"$197,810.00 ",2021,114,Petrol,51.43,First,2021,Not Available,Dealer,"$126,771.02 ",Metro
Delhi,70.61,Kawasaki,Ninja 400,"$116,541.00 ",2015,114,Petrol,56.56,First,2015,Active,Individual,"$55,474.50 ",Tier 1
Punjab,65.91,Kawasaki,Z650,"$67,921.00 ",2022,114,Electric,71.65,First,2022,Expired,Individual,"$45,000.44 ",Tier 2
Rajasthan,43.37,TVS,Sport,"$393,631.00 ",2022,114,Hybrid,76.42,First,2022,Not Available,Dealer,"$310,667.65 ",Metro
Maharashtra,53,Hero,Splendor Plus,"$245,543.00 ",2024,114,Hybrid,79.21,First,2024,Expired,Individual,"$147,461.20 ",Tier 3
Rajasthan,48.41,TVS,Apache RTR 160,"$242,782.00 ",2024,114,Electric,85.4,Second,2024,Expired,Individual,"$160,657.65 ",Tier 1
Punjab,75.01,Kawasaki,Ninja 300,"$312,146.00 ",2019,114,Electric,85.42,Second,2024,Not Available,Individual,"$149,710.03 ",Tier 2
Rajasthan,18.12,Honda,CBR 650R,"$347,482.00 ",2018,114,Hybrid,97.68,Third,2019,Active,Individual,"$231,373.30 ",Tier 1
Gujarat,12.64,Kawasaki,Ninja 300,"$110,653.00 ",2016,114,Hybrid,98.38,Second,2023,Expired,Individual,"$83,610.18 ",Tier 3
Madhya Pradesh,67.68,Royal Enfield,Interceptor 650,"$166,846.00 ",2024,115,Petrol,49.61,Second,2024,Not Available,Individual,"$79,583.35 ",Tier 1
Rajasthan,76.03,TVS,Sport,"$330,991.00 ",2024,115,Hybrid,65.83,Third,2024,Active,Individual,"$245,221.96 ",Tier 3
Madhya Pradesh,23.75,Yamaha,Fascino 125,"$83,679.00 ",2023,115,Electric,67.27,Third,2024,Active,Dealer,"$43,579.95 ",Tier 3
Madhya Pradesh,15.45,Kawasaki,Ninja 300,"$297,370.00 ",2015,115,Hybrid,67.85,First,2015,Expired,Dealer,"$229,343.42 ",Tier 3
Maharashtra,12.95,Hero,Splendor Plus,"$263,463.00 ",2017,115,Electric,67.91,Third,2024,Not Available,Individual,"$202,946.67 ",Tier 3
Rajasthan,79.9,KTM,250 Duke,"$395,253.00 ",2022,115,Hybrid,68.6,First,2022,Active,Dealer,"$176,952.87 ",Tier 3
Karnataka,73.77,TVS,Apache RTR 160,"$295,076.00 ",2022,115,Electric,71.1,Third,2023,Not Available,Dealer,"$147,987.59 ",Metro
Tamil Nadu,62.06,Honda,Shine,"$104,252.00 ",2023,115,Hybrid,73.57,First,2023,Active,Individual,"$62,856.72 ",Tier 2
Tamil Nadu,15.23,Hero,Xtreme 160R,"$75,474.00 ",2020,115,Hybrid,75.93,First,2020,Active,Individual,"$50,148.49 ",Tier 3
Tamil Nadu,56.01,Kawasaki,Versys 650,"$256,045.00 ",2019,115,Hybrid,77.52,Second,2019,Expired,Dealer,"$157,557.62 ",Tier 1
Gujarat,10.99,Yamaha,R15 V4,"$183,553.00 ",2016,115,Hybrid,80.05,Second,2016,Not Available,Individual,"$74,079.43 ",Metro
Karnataka,33.54,Honda,CBR 650R,"$282,648.00 ",2019,115,Electric,82.13,First,2019,Not Available,Individual,"$147,357.90 ",Tier 3
Delhi,41.6,KTM,250 Duke,"$310,707.00 ",2023,115,Hybrid,82.75,Third,2023,Active,Dealer,"$206,700.97 ",Metro
Delhi,12.41,Honda,Dio,"$86,276.00 ",2020,115,Hybrid,91.69,Second,2020,Expired,Dealer,"$52,267.08 ",Tier 1
Punjab,37.16,TVS,Ronin,"$377,483.00 ",2021,115,Hybrid,97.36,First,2021,Active,Dealer,"$197,901.93 ",Metro
Rajasthan,29.48,Hero,Passion Pro,"$329,829.00 ",2016,115,Electric,99.21,Second,2017,Expired,Dealer,"$140,912.80 ",Metro
Punjab,61.92,Hero,Passion Pro,"$98,332.00 ",2021,116,Petrol,35.78,Second,2024,Not Available,Dealer,"$60,656.20 ",Tier 1
